Name,Ghana Post GPS,Latitude,Longitude,Category
UNIVERSITY OF GHANA (Main Campus),GA-489-6611,5.6508,-0.1871,University
ELIZABETH SEY HALL,,5.635051,-0.187374,Hall of Residence
AKUAFO HALL 1,,5.649439,-0.186259,Hall of Residence
AKUAFO HALL 2,,5.648842,-0.186009,Hall of Residence
AKUAFO HALL(A),,5.647929,-0.18605,Hall of Residence
AKUAFO HALL(B),,5.647086,-0.185431,Hall of Residence
EARTH SCIENCE DEPT.,,5.651109,-0.18405,Academic Department
COMMONWEALTH HALL 1,,5.651326,-0.193348,Hall of Residence
COMMONWEALTH HALL 2,,5.651,-0.193,Hall of Residence
COMMONWEALTH HALL 3,,5.6507,-0.1927,Hall of Residence
LEGON HALL 1,,5.652,-0.189,Hall of Residence
LEGON HALL 2,,5.6517,-0.1887,Hall of Residence
VOLTA HALL,,5.6498,-0.1915,Hall of Residence
SARBAH HALL,,5.6485,-0.192,Hall of Residence
MENSAH SARBAH HALL,,5.648,-0.1925,Hall of Residence
AKUAFO HALL ANNEX,,5.6475,-0.1858,Hall of Residence
UNIVERSITY HOSPITAL,,5.646,-0.19,Health Facility
BALME LIBRARY,,5.6505,-0.1905,Library
CENTRAL CAFETERIA,,5.649,-0.1895,Food & Drink
COLLEGE OF BASIC AND APPLIED SCIENCES,,5.6525,-0.1845,College
COLLEGE OF HUMANITIES,,5.65,-0.191,College
SCHOOL OF LAW,,5.653,-0.19,Academic School
UNIVERSITY OF GHANA BUSINESS SCHOOL,,5.645,-0.187,Academic School
UNIVERSITY OF GHANA SPORTS STADIUM,,5.64,-0.195,Sports Facility
UNIVERSITY OF GHANA BOTANICAL GARDENS,,5.643,-0.18,Leisure/Research
INTERNATIONAL STUDENTS HOSTEL,,5.638,-0.188,Hall of Residence
NUNGUYA HALL,,5.6515,-0.192,Hall of Residence
JUBILEE HALL,,5.6465,-0.189,Hall of Residence
"INSTITUTE OF STATISTICAL, SOCIAL AND ECONOMIC RESEARCH (ISSER)",,5.6535,-0.186,Research Institute
SCHOOL OF PUBLIC HEALTH,,5.644,-0.191,Academic School
DEPARTMENT OF GEOGRAPHY AND RESOURCE DEVELOPMENT,,5.6518,-0.185,Academic Department
UNIVERSITY BASIC SCHOOL,,5.642,-0.185,Education
